,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum_1m,momentum_3m,momentum_6m,momentum_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
31,CHRD,0.012675015953737774,0.98761835195806,0.7061815409114076,0.678896689963329,0.5417941820677693,0.5415287181803552,0.5417081366005289,0.5416272109067053,0.6740146698299085,0.15140535165186408,0.6151793208568395,0.7994031107601242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,EXE,0.0039007851209422397,0.30205096854947155,0.80125297806897,0.7798930197016513,0.4984929111023224,0.4981965600538748,0.49822000701896807,0.498539996941819,0.6777627762453247,0.13579688362665765,0.5892354925766997,0.8120389305453296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,FANG,0.005719184422399592,0.46566808767160983,0.8124134986982238,0.7405318007760217,0.5575593656533148,0.5573107160948995,0.5575087330164438,0.5574638562167376,0.6279621073133548,0.22558987476375997,0.6712404221891052,0.8418432711518167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,PAA,0.010224110087085918,0.4324813964605938,0.7082575956145508,0.7371958929964372,0.23271243964728663,0.23232910684671468,0.23193925932829978,0.2332444319897259,0.6711382583220822,0.16394333480530976,0.6254586972943936,0.847788417421233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,VNOM,0.001562962841996377,0.44755055311258507,0.7696976789019795,0.7573704449734481,0.33895608002470823,0.33852812964423307,0.33868489800391244,0.33908652020767566,0.6715189939857493,0.17058432396871692,0.6320429463742436,0.846254854067838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,WWD,0.0008758939312899687,0.28182869019099804,0.78494991987239,0.743878248548591,0.556399397499657,0.5561479998268694,0.5558545198627842,0.5567833968778308,0.6668016871879018,0.2186049296908934,0.6766410810220865,0.8256710800657658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ABNB,0.013556700812605028,0.4202605704561355,0.9015225567727508,0.8166798917577164,0.5832834003169545,0.5829437577741557,0.583699805506591,0.5826742184386022,0.5626764384782847,0.10776181316687825,0.6523255752136206,0.8542501069411774,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ACGL,0.004441693320583027,0.22040572381860601,0.7942722804550868,0.8755912885635665,0.4548620961557447,0.4545252043625685,0.4538936284720485,0.4557023573261714,0.6683179679778294,0.1638148291433416,0.6327265600088604,0.8445916414245087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,CME,0.0037727207437571724,0.1757294251722285,0.7738649013501663,0.795374556505115,0.6340672027549267,0.6338887752881389,0.6332280632744761,0.6347968222062383,0.6782821998204124,0.18453743026136646,0.6662306452819873,0.8445270615029896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,COIN,0.024593639345820244,0.8558861660097768,0.9166832185916107,0.7274600774141403,0.5984193439525155,0.5983512906993147,0.6008042330128847,0.5961300673406351,1.0,0.205786166430185,0.5739915327195289,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CSGP,0.005383642718428856,0.25998483840980624,0.7602750949887862,0.6915725995425187,0.4976630300812772,0.4974379933592,0.49707791721625305,0.4981195641707054,0.6600357762324046,0.14721526402717472,0.5957905459082923,0.8226578390315473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,HBANM,2.4756756762932164e-05,0.24089443096438756,0.8526438473540953,0.829361187945142,0.3281034096328227,0.3275931938857123,0.3264298955756445,0.3294202000536736,0.6742834013785619,0.15356568839727897,0.6144135906877061,0.8426764358922849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,NDAQ,0.005770536929542666,0.16494265729774737,0.8109682146386026,0.8643056745677883,0.4471878278747954,0.4468284596366743,0.4460052734588571,0.4481777183233849,0.6736544749158587,0.15214492051497888,0.6036900872856876,0.8328038204545324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
